Rank by Pounds,Rank Per Capita,State,State_2,Per_Capita_Consumption (Pounds_Per_Person), Total_Pounds_Consumed , Population_2019 ,1st_Place,1st_Place_Pounds,2nd_Place,2nd_Place_Pounds,3rd_Place,3rd_Place_Pounds
8,1,Hawaii,HI,47.01,667837,1420491,Skittles,275811,Hershey Kisses,266495,Butterfinger,125531
3,2,Arizona,AZ,31.03,2225260,7171646,Snickers,956333,Hot Tamales,766617,Hershey Kisses,502310
5,3,Utah,UT,25.47,805157,3161105,Jolly Ranchers,483545,Candy Corn,172832,Tootsie Pops,148780
31,4,North Dakota,ND,23.54,178957,760077,Hot Tamales,69652,Jolly Ranchers,60053,Candy Corn,49252
7,5,Nevada,NV,22.74,690134,3034392,Candy Corn,339882,Hershey Kisses,198868,Tootsie Pops,151384
9,6,Kansas,KS,20.92,608978,2911505,Reese's Cups,245135,M&M's,225421,Snickers,138422
10,7,Arkansas,AR,17.37,523363,3013825,Jolly Ranchers,241483,Hot Tamales,210104,Butterfinger,71776
41,8,Wyoming,WY,13.18,76174,577737,Reese's Cups,32711,Salt Water Taffy,23619,Dubble Bubble Gum,19844
42,9,Vermont,VT,11.69,73222,626299,Milky Way,31822,Skittles,26056,M&M's,15344
33,10,New Hampshire,NH,11.38,154331,1356458,Starburst,67939,M&M's,61343,Snickers,25049
25,11,Nebraska,NE,10.78,207980,1929268,Salt Water Taffy,108819,Sour Patch Kids,74728,Twix,24433
30,12,Idaho,ID,10.65,186905,1754208,Candy Corn,89673,Starburst,58953,Snickers,38279
1,13,California,CA,9.52,3796404,39865590,Skittles,1620736,M&M's,1283715,Assorted Salt Water Taffy,891953
2,14,Texas,TX,9.09,2654020,29206997,Reese's Cups,1101040,Starburst,1082409,Almond Joy,470571
29,15,New Mexico,NM,9.08,190227,2095428,Candy Corn,84251,Jolly Ranchers,61855,Milky Way,44121
21,16,Mississippi,MS,8.96,267544,2986530,3 Musketeers,115314,Snickers,99497,Butterfinger,52733
36,17,Maine,ME,8.96,119870,1338404,Sour Patch Kids,63630,Starburst,40409,M&M's,15831
11,18,Minnesota,MN,8.82,495182,5611179,Tootsie Pops,202210,Skittles,196541,Candy Corn,96431
43,19,District of Columbia,DC,8.53,59904,702455,M&M's,26865,Tootsie Pops,20287,Candy Corn,12752
4,20,Florida,FL,6.83,1453793,21299325,Snickers,660689,Skittles,578790,Reese's Cups,214314
12,21,Washington,WA,6.48,488120,7535591,Salt Water Taffy,220965,Tootsie Pops,195602,Skittles,71553
